# SP☆10 스코어 난이도표 (スコア難易度表 LV10)
# 출처: 2026年8月時点のけんたんチャンネル基準 (트위터 이미지 3장을 사람이 옮겨 적음, 2026-09-26)
# 형식: 티어<TAB>곡 제목.  제목 끝의 † = LEGGENDARIA(SPL). 그 밖에는 ☆10 SP 채보(SPA 우선).
B	Hard Breaker
B	HORIZON BEATZ
B	Hydrogen Blueback
B	Jumper
B	KAMIKAZE
B	Keep it-秋葉工房mix-
B	Last Burning
B	LAX5 feat.Ryota Yoshinari
B	Light Shine
B	LOVELY STORM
B	lower world
B	Lucky Days
B	LUV CAN SAVE U†
B	Magical
B	Mel†
B	MOON
B	Mr.T.(take me higher)
B	Narcissus At Oasis
B	New Lights
B	No Day But Today!
B	NO LIMIT -オレ達に限界は無い-
B	NPC World
B	NΦ CRIME†
B	OUTER PLANETS
B	Punch Love 仮面
B	REMINISCENCE
B	RISE
B	Rise'n Beauty
B	RIZING YOU UP
B	Roulette
B	Rowdy
B	SA.YO.NA.RA. SUPER STAR
B	She is my wife
B	SigSig
B	SINOBUZ Fantasy
B	snow storm
B	So Fabulous !!
B	SOLITON BEAM
B	SOMETHING WONDERFUL
B	SPLASH!!!!!!!!!
B	STAR BEAT
B	Sweet Sweet Magic
B	sync
B	TA・DA ☆ YO・SHI
B	The Story Begins
B	This is Love
B	Tizona d'El Cid
B	traces
B	Turii ～Panta rhei～
B	Twelfth Style
B	Umbral
B	Vermillion
B	Voo Doo Bamboleo
B	Why did you go away
B	yellow head joe
B	ZEROIN ON THE LIGHT
B	アルストロメリア
B	デビルじゃないもん
B	ドリムチウ
B	ナイトフィクション
B	ハイ*ビスカス ft. Kanae Asaba
B	ハリツヤランデヴー
B	バスルーム ロマンス
B	ビビデバ
B	不死身ごっこ
B	恋はどう？モロ◎波動OK☆方程式！！
B	星をこの手に
B	流桜ノ門
B	湘南ロンリーMIDNIGHT RAIN
B	百恋ラブラスター
C	1001 -ESCAPE-
C	50th Memorial Songs -二人の時 ～under the cherry blossoms～-
C	Abyss -The Heavens Remix-
C	ACCELERATE
C	Agnus Dei
C	ALFARSHEAR 双神威に廻る夢
C	Arcanos
C	Bahram Attack-猫叉Master Remix-
C	Be OK
C	Beat Radiance
C	being torn the sky
C	Believe in you
C	Bloody Tears(IIDX EDITION)
C	BOOM BOOM DISCO NIGHT
C	BRAVE OUT
C	Chasing After YOU ～夢の欠片～ ft. 小林マナ
C	Chewingood!!!
C	Colors -Y&Co. Eurobeat Remix-
C	CoMAAAAAAA
C	Cradle
C	Cyber Force -DJ Yoshitaka Remix-
C	Daisuke
C	Dazzlin' Darlin -秋葉工房mix-
C	DM STAR～関西 energy style～
C	Dreaming Dream
C	Drive Me Crazy
C	Everlasting Last
C	Everlasting Resort
C	EXE
C	Fly Above (Vicissitude Remix)
C	Galaxy Collapse
C	GENERATE feat.綾倉盟
C	GET UP AGAIN
C	Get Wicked
C	HAPPY☆ANGEL
C	HAT TRICK
C	HEARTACHE
C	IDOL syndrome.
C	ILIAS
C	Infinity Mirror
C	into the battlefield
C	Let me be your cure
C	Lift Us High
C	LOVE B.B.B
C	LOVE IS ORANGE†
C	N.O.
C	NEBULA GRASPER
C	Next Level
C	NoN-Fiction Story!
C	O/D*20
C	Ocean Blue feat. Luschel
C	PHOTONGENIC
C	Piano Samurai
C	Pink Rose
C	PIRATES BLADE
C	Plazma
C	POODLE
C	Power of Love
C	Prohibited Props
C	QQQ
C	RESISTANCE
C	rottel-da-sun
C	Ska-sh All Neurons!!
C	Skywalking
C	smooooch・∀・ (Snail's House Remix)
C	Space Time
C	SPARK IN THE NIGHT
C	Star Trail
C	Super Duper Racers
C	Sweet Radar
C	take me higher
C	toy boxer
C	vault of heaven
C	VIBRΛ
C	WAKE UP NOW
C	Warrior
C	Watermelon Explosion
C	When I Met U
C	Winner's Proof ft. KANASA from bless4
C	XANADU OF TWO
C	Zenius -I- vanisher
C	お願いアインシュタイン
C	きゅうくらりん
C	ここからよろしく大作戦143
C	それが、ボクの使命～レスキュー隊長 メンキュー～
C	めでてえ
C	もんめためたもん
C	アイドル
C	アタシ完全絶対正義ちゃん！
C	エクスプロウル
C	エディブルフラワーの独白
C	オッドラヴィ
C	オブソミート
C	オルタネイトβ
C	キスキツネ
C	シュッパツシンコウ・シサカンコ
C	シンデレラ
C	セピアの軌跡 ft. 天宮みや (少女フラクタル)
C	デラむぅのでらっくす☆どり～むぅ
C	ヒマワリ
C	ビューティフルレシート
C	ボラリスノウタ
C	メイメツ、フラグメンツ
C	ラキラキ
C	リグレット
C	レシピのリドル
C	冬椿 ft. Kanae Asaba
C	凛として咲く花の如く
C	十六夜セツナ
C	取り残された美術 (Arranged:HiZuMi)
C	可愛くてごめん†
C	妖隠し -あやかしかくし-
C	山岡晃の「クイズ！家事都合！」
C	弾幕信仰
C	恋愛観測
C	愛しくてラヴィンユー ft. マナ
C	新宝島
C	最強頂戴girl
C	月と夢の跡 ft. マナ
C	水無月の雫 ft. 小林まな
C	消極的セツナイズム
C	深愛のリグレット
C	翼†
C	衰色小町メランコリア
C	酔いどれ知らず
C	鉄甲乙女-under the steel-
C	閉塞的フレーション
D	8bit Princess
D	Aeterna
D	AGETEKE ONDO
D	Akatsuki
D	Ariah
D	Back Into The Light
D	bag
D	CaptivAte～誓い～
D	chrono diver -fragment-
D	COLOR BURST
D	COUNTING SHEEP ft. Kanae Asaba
D	CUE CUE RESCUE
D	EDEN
D	EMOTiON TRiPPER
D	EURO-ROMANCE
D	Fantasia
D	Fly you to the star
D	get set mind
D	GRID KNIGHT
D	Harmonia
D	Heavenly Sun (IIDX VERSION)
D	Here We Are
D	Hold My Hand
D	If
D	Iris
D	Jack
D	KOTONOHA ft. Kotoha
D	LETHEBOLG ～双神威に斬り咲けり～
D	LOVE SHINE
D	LUV DRIVE
D	Mermaid girl
D	Odin
D	Only for now
D	OOO
D	OVER TIME†
D	PALETTE
D	PERFECT HUMAN
D	planarian
D	Rainbow after snow
D	Rainstorm
D	REPLAY
D	Rewind Time
D	rottel-the-Mercury
D	Secret Rouge
D	Several Words
D	SHINING☆DANCE
D	SHION
D	Show Time
D	SILKY BRAVE
D	STARLIGHT JUNCTION
D	Sugarplum
D	Sunny Day Vibes
D	Technicolour Dreams
D	The Commanders
D	The Wind of China Express (The 4th Mashup)
D	TITANIUM RIDERS
D	WAR GAME
D	Wing of Hearts
D	Wonderful Escape
D	Wuv U
D	Yellow Sunrise
D	おとせサンダー
D	かわいいだけじゃだめですか？
D	きゅんです。
D	ちゅ、多様性。†
D	ギャ・ギャ・ギャ・ギャラクシー！
D	ゲシュタルト
D	シル・ヴ・プレジデント
D	ドーナツホール 2024
D	パプリン
D	ラブキラ☆スプラッシュ
D	中華急行
D	夏の匂い。キミの残像。 ft. Kanae Asaba
D	夏色のセレナーデ
D	夏風邪デスコ
D	好吃来世deエレクトリック
D	愛包ダンスホール
D	朧
D	朱と碧のランページ
D	梅雲夜
D	次葉 -turn the page-
D	異心前進♪ぴょんぴょんぴょん
D	神様、つれない。
D	純真可憐デザイア
D	華爛漫 -Flowers-
D	進捗ダメダメです
E	5.1.1.
E	7 Colors
E	ANEMONE
E	CROSSROAD ～Left Story～
E	DAYDREAMER
E	Dazzlin' Darlin
E	Lycoris
E	NEEDLESS MY LOVE FOR YOU
E	SAMSARA
E	Shooting Star
E	Sorrows
E	オドループ
E	ハルイロメロディー
E	怪物
E	我ら完全無敵のアイドル!!
E	昏き甲鉄のヴェルガ
E	罠
